id,student_id,due_date,paid_date,amount
67,41,2024-09-02,2024-09-02,450000
68,41,2024-10-07,2024-10-21,350000
69,41,2024-11-11,2024-11-18,350000
70,42,2024-09-02,2024-09-02,450000
71,42,2024-10-07,2024-10-07,400000
72,42,2024-11-11,2024-11-11,400000
73,44,2024-09-02,2024-09-02,400000
74,44,2024-10-07,2024-10-07,350000
75,44,2024-11-11,2024-11-11,500000
76,49,2024-09-02,2024-09-02,350000
77,49,2024-10-07,2024-10-07,500000
78,49,2024-11-11,2024-11-11,450000
79,50,2024-09-02,2024-09-02,350000
80,50,2024-10-07,2024-10-07,450000
81,50,2024-11-11,2024-11-11,450000
82,51,2024-09-02,2024-09-02,500000
83,51,2024-10-07,2024-10-07,400000
84,51,2024-11-11,2024-11-11,400000
85,52,2024-09-02,2024-09-02,350000
86,52,2024-10-07,2024-10-07,450000
87,52,2024-11-11,2024-11-11,400000
88,55,2024-09-02,2024-09-09,350000
89,55,2024-10-07,2024-10-07,450000
90,55,2024-11-11,,350000
91,57,2024-09-02,2024-09-02,350000
92,57,2024-10-07,2024-10-07,350000
93,57,2024-11-11,2024-11-11,350000
94,58,2024-09-02,2024-09-02,350000
95,58,2024-10-07,2024-10-07,400000
96,58,2024-11-11,2024-11-11,500000
97,59,2024-09-02,2024-09-16,400000
98,59,2024-10-07,2024-10-07,400000
99,59,2024-11-11,2024-11-18,350000
100,64,2024-09-02,2024-09-16,400000
101,64,2024-10-07,2024-10-14,450000
102,64,2024-11-11,2024-11-11,350000
103,67,2024-09-02,,400000
104,67,2024-10-07,2024-10-21,450000
105,67,2024-11-11,2024-11-18,500000
106,68,2024-09-02,2024-09-02,500000
107,68,2024-10-07,2024-10-07,450000
108,68,2024-11-11,2024-11-11,500000
109,69,2024-09-02,2024-09-09,450000
110,69,2024-10-07,2024-10-14,400000
111,69,2024-11-11,,500000
112,71,2024-09-02,2024-09-02,450000
113,71,2024-10-07,2024-10-07,500000
114,71,2024-11-11,2024-11-11,500000
115,72,2024-09-02,,400000
116,72,2024-10-07,2024-10-07,500000
117,72,2024-11-11,2024-11-11,500000
118,74,2024-09-02,2024-09-09,450000
119,74,2024-10-07,2024-10-21,400000
120,74,2024-11-11,2024-11-18,450000
121,75,2024-09-02,2024-09-09,500000
122,75,2024-10-07,,350000
123,75,2024-11-11,2024-11-25,400000
124,76,2024-09-02,2024-09-02,450000
125,76,2024-10-07,2024-10-21,500000
126,76,2024-11-11,2024-11-18,500000
127,78,2024-09-02,2024-09-02,350000
128,78,2024-10-07,2024-10-07,350000
129,78,2024-11-11,2024-11-11,500000
130,79,2024-09-02,2024-09-02,500000
131,79,2024-10-07,2024-10-07,450000
132,79,2024-11-11,2024-11-11,350000
133,81,2024-09-02,2024-09-02,350000
134,81,2024-10-07,2024-10-07,400000
135,81,2024-11-11,2024-11-11,450000
136,82,2024-09-02,2024-09-02,500000
137,82,2024-10-07,2024-10-07,450000
138,82,2024-11-11,2024-11-11,450000
139,87,2024-09-02,2024-09-02,400000
140,87,2024-10-07,2024-10-07,400000
141,87,2024-11-11,2024-11-11,450000
142,88,2024-09-02,2024-09-02,350000
143,88,2024-10-07,,400000
144,88,2024-11-11,2024-11-25,450000
145,90,2024-09-02,2024-09-02,400000
146,90,2024-10-07,2024-10-07,400000
147,90,2024-11-11,2024-11-11,450000
148,91,2024-09-02,2024-09-02,350000
149,91,2024-10-07,2024-10-07,400000
150,91,2024-11-11,2024-11-11,500000
151,93,2024-09-02,2024-09-02,500000
152,93,2024-10-07,2024-10-07,450000
153,93,2024-11-11,2024-11-11,450000
154,94,2024-09-02,,400000
155,94,2024-10-07,2024-10-14,450000
156,94,2024-11-11,2024-11-11,500000
157,97,2024-09-02,2024-09-02,500000
158,97,2024-10-07,2024-10-07,350000
159,97,2024-11-11,2024-11-11,350000
160,99,2024-09-02,2024-09-02,400000
161,99,2024-10-07,2024-10-07,500000
162,99,2024-11-11,2024-11-11,350000
163,103,2024-09-02,2024-09-02,500000
164,103,2024-10-07,2024-10-21,450000
165,103,2024-11-11,2024-11-18,500000
166,104,2024-09-02,2024-09-02,500000
167,104,2024-10-07,2024-10-07,500000
168,104,2024-11-11,2024-11-11,400000
169,105,2024-09-02,2024-09-09,400000
170,105,2024-10-07,2024-10-21,450000
171,105,2024-11-11,,450000
172,106,2024-09-02,2024-09-02,500000
173,106,2024-10-07,2024-10-07,500000
174,106,2024-11-11,2024-11-11,450000
175,107,2024-09-02,2024-09-02,350000
176,107,2024-10-07,2024-10-07,450000
177,107,2024-11-11,2024-11-11,500000
178,113,2024-09-02,2024-09-02,500000
179,113,2024-10-07,,500000
180,113,2024-11-11,2024-11-11,350000
181,117,2024-09-02,2024-09-02,500000
182,117,2024-10-07,2024-10-07,400000
183,117,2024-11-11,2024-11-11,400000
184,118,2024-09-02,2024-09-02,400000
185,118,2024-10-07,2024-10-07,500000
186,118,2024-11-11,2024-11-11,350000
187,119,2024-09-02,2024-09-02,500000
188,119,2024-10-07,2024-10-07,400000
189,119,2024-11-11,2024-11-11,500000
190,120,2024-09-02,2024-09-02,400000
191,120,2024-10-07,2024-10-07,400000
192,120,2024-11-11,2024-11-11,400000
193,122,2024-09-02,2024-09-02,500000
194,122,2024-10-07,2024-10-14,450000
195,122,2024-11-11,,400000
196,123,2024-09-02,2024-09-02,400000
197,123,2024-10-07,2024-10-07,450000
198,123,2024-11-11,2024-11-11,500000
199,124,2024-09-02,2024-09-09,450000
200,124,2024-10-07,2024-10-14,400000
201,124,2024-11-11,,350000
202,125,2024-09-02,2024-09-02,350000
203,125,2024-10-07,2024-10-14,450000
204,125,2024-11-11,2024-11-11,400000
205,127,2024-09-02,2024-09-02,350000
206,127,2024-10-07,2024-10-07,350000
207,127,2024-11-11,2024-11-11,400000
208,130,2024-09-02,2024-09-02,400000
209,130,2024-10-07,2024-10-07,500000
210,130,2024-11-11,2024-11-11,500000
211,132,2024-09-02,2024-09-02,500000
212,132,2024-10-07,2024-10-07,400000
213,132,2024-11-11,2024-11-11,350000
214,133,2024-09-02,2024-09-09,400000
215,133,2024-10-07,2024-10-14,500000
216,133,2024-11-11,2024-11-18,500000
217,135,2024-09-02,2024-09-02,350000
218,135,2024-10-07,2024-10-07,400000
219,135,2024-11-11,2024-11-11,400000
220,136,2024-09-02,2024-09-16,350000
221,136,2024-10-07,2024-10-14,350000
222,136,2024-11-11,2024-11-18,350000
223,137,2024-09-02,2024-09-09,450000
224,137,2024-10-07,2024-10-21,500000
225,137,2024-11-11,2024-11-18,500000
226,142,2024-09-02,2024-09-09,400000
227,142,2024-10-07,2024-10-21,500000
228,142,2024-11-11,2024-11-11,500000
229,144,2024-09-02,2024-09-02,500000
230,144,2024-10-07,2024-10-07,450000
231,144,2024-11-11,2024-11-11,350000
232,145,2024-09-02,2024-09-02,450000
233,145,2024-10-07,2024-10-07,400000
234,145,2024-11-11,2024-11-11,350000
235,146,2024-09-02,,500000
236,146,2024-10-07,2024-10-21,450000
237,146,2024-11-11,2024-11-18,350000
238,148,2024-09-02,2024-09-02,450000
239,148,2024-10-07,2024-10-07,350000
240,148,2024-11-11,2024-11-11,450000
241,149,2024-09-02,2024-09-16,450000
242,149,2024-10-07,2024-10-07,450000
243,149,2024-11-11,2024-11-11,500000
244,151,2024-09-02,2024-09-02,450000
245,151,2024-10-07,2024-10-07,500000
246,151,2024-11-11,2024-11-11,500000
247,155,2024-09-02,2024-09-16,350000
248,155,2024-10-07,2024-10-07,350000
249,155,2024-11-11,2024-11-11,500000
250,156,2024-09-02,2024-09-09,400000
251,156,2024-10-07,2024-10-21,350000
252,156,2024-11-11,2024-11-18,500000
253,159,2024-09-02,2024-09-02,350000
254,159,2024-10-07,2024-10-14,500000
255,159,2024-11-11,2024-11-18,350000
256,160,2024-09-02,2024-09-02,400000
257,160,2024-10-07,2024-10-07,400000
258,160,2024-11-11,2024-11-11,400000
259,161,2024-09-02,2024-09-02,500000
260,161,2024-10-07,2024-10-07,500000
261,161,2024-11-11,2024-11-11,400000
262,162,2024-09-02,2024-09-02,500000
263,162,2024-10-07,2024-10-07,500000
264,162,2024-11-11,2024-11-11,450000
265,164,2024-09-02,2024-09-16,500000
266,164,2024-10-07,,400000
267,164,2024-11-11,2024-11-11,350000
268,166,2024-09-02,2024-09-16,500000
269,166,2024-10-07,2024-10-21,500000
270,166,2024-11-11,2024-11-18,350000
271,167,2024-09-02,2024-09-02,350000
272,167,2024-10-07,2024-10-07,450000
273,167,2024-11-11,2024-11-11,400000
274,169,2024-09-02,2024-09-02,450000
275,169,2024-10-07,2024-10-07,450000
276,169,2024-11-11,2024-11-11,500000
277,171,2024-09-02,2024-09-02,400000
278,171,2024-10-07,2024-10-07,450000
279,171,2024-11-11,2024-11-11,500000
280,172,2024-09-02,2024-09-02,450000
281,172,2024-10-07,2024-10-07,350000
282,172,2024-11-11,2024-11-11,400000
283,174,2024-09-02,2024-09-02,450000
284,174,2024-10-07,2024-10-07,400000
285,174,2024-11-11,2024-11-11,500000
286,175,2024-09-02,2024-09-02,400000
287,175,2024-10-07,2024-10-07,450000
288,175,2024-11-11,2024-11-11,400000
289,176,2024-09-02,2024-09-02,350000
290,176,2024-10-07,2024-10-07,450000
291,176,2024-11-11,2024-11-11,500000
292,179,2024-09-02,2024-09-02,500000
293,179,2024-10-07,2024-10-07,500000
294,179,2024-11-11,2024-11-11,450000
295,180,2024-09-02,2024-09-02,450000
296,180,2024-10-07,2024-10-21,500000
297,180,2024-11-11,2024-11-18,350000
298,181,2024-09-02,2024-09-09,400000
299,181,2024-10-07,,450000
300,181,2024-11-11,2024-11-11,350000
301,183,2024-09-02,2024-09-02,400000
302,183,2024-10-07,2024-10-07,450000
303,183,2024-11-11,2024-11-11,500000
304,184,2024-09-02,2024-09-02,450000
305,184,2024-10-07,2024-10-07,450000
306,184,2024-11-11,2024-11-11,350000
307,187,2024-09-02,2024-09-02,500000
308,187,2024-10-07,2024-10-07,350000
309,187,2024-11-11,2024-11-11,450000
310,189,2024-09-02,2024-09-02,350000
311,189,2024-10-07,2024-10-07,350000
312,189,2024-11-11,2024-11-11,400000
313,190,2024-09-02,2024-09-02,500000
314,190,2024-10-07,2024-10-07,400000
315,190,2024-11-11,2024-11-11,500000
316,192,2024-09-02,2024-09-02,400000
317,192,2024-10-07,2024-10-07,450000
318,192,2024-11-11,2024-11-11,400000
319,196,2024-09-02,2024-09-02,500000
320,196,2024-10-07,2024-10-07,500000
321,196,2024-11-11,2024-11-11,500000
322,197,2024-09-02,2024-09-02,400000
323,197,2024-10-07,2024-10-07,350000
324,197,2024-11-11,2024-11-11,400000
325,199,2024-09-02,,350000
326,199,2024-10-07,2024-10-07,450000
327,199,2024-11-11,2024-11-18,400000
328,200,2024-09-02,2024-09-02,500000
329,200,2024-10-07,2024-10-07,350000
330,200,2024-11-11,2024-11-11,400000
331,201,2024-09-02,2024-09-16,450000
332,201,2024-10-07,2024-10-21,400000
333,201,2024-11-11,2024-11-25,500000
334,204,2024-09-02,2024-09-02,400000
335,204,2024-10-07,2024-10-07,400000
336,204,2024-11-11,2024-11-11,500000
337,205,2024-09-02,2024-09-02,350000
338,205,2024-10-07,2024-10-07,450000
339,205,2024-11-11,2024-11-11,500000
340,206,2024-09-02,2024-09-02,350000
341,206,2024-10-07,2024-10-07,350000
342,206,2024-11-11,2024-11-11,450000
343,208,2024-09-02,2024-09-16,500000
344,208,2024-10-07,2024-10-21,500000
345,208,2024-11-11,2024-11-18,500000
346,209,2024-09-02,2024-09-16,350000
347,209,2024-10-07,2024-10-07,450000
348,209,2024-11-11,2024-11-11,350000
349,210,2024-09-02,2024-09-02,350000
350,210,2024-10-07,2024-10-07,350000
351,210,2024-11-11,2024-11-18,350000
352,211,2024-09-02,2024-09-16,350000
353,211,2024-10-07,2024-10-07,500000
354,211,2024-11-11,2024-11-25,500000
355,213,2024-09-02,2024-09-02,450000
356,213,2024-10-07,2024-10-07,450000
357,213,2024-11-11,2024-11-11,450000
358,217,2024-09-02,2024-09-09,400000
359,217,2024-10-07,2024-10-07,500000
360,217,2024-11-11,2024-11-25,500000
361,218,2024-09-02,2024-09-02,400000
362,218,2024-10-07,2024-10-07,500000
363,218,2024-11-11,2024-11-11,400000
364,219,2024-09-02,2024-09-02,500000
365,219,2024-10-07,2024-10-07,500000
366,219,2024-11-11,2024-11-11,350000
367,220,2024-09-02,2024-09-09,350000
368,220,2024-10-07,2024-10-14,350000
369,220,2024-11-11,2024-11-18,400000
370,221,2024-09-02,2024-09-02,400000
371,221,2024-10-07,2024-10-07,400000
372,221,2024-11-11,2024-11-11,450000
373,223,2024-09-02,2024-09-02,350000
374,223,2024-10-07,2024-10-07,450000
375,223,2024-11-11,2024-11-18,350000
376,225,2024-09-02,2024-09-02,450000
377,225,2024-10-07,2024-10-07,350000
378,225,2024-11-11,2024-11-11,500000
379,226,2024-09-02,2024-09-02,450000
380,226,2024-10-07,2024-10-07,400000
381,226,2024-11-11,2024-11-11,500000
382,228,2024-09-02,2024-09-02,450000
383,228,2024-10-07,2024-10-07,500000
384,228,2024-11-11,2024-11-11,350000
385,231,2024-09-02,2024-09-02,450000
386,231,2024-10-07,2024-10-07,400000
387,231,2024-11-11,2024-11-18,350000
388,232,2024-09-02,2024-09-02,450000
389,232,2024-10-07,2024-10-07,450000
390,232,2024-11-11,2024-11-11,400000
391,234,2024-09-02,2024-09-02,500000
392,234,2024-10-07,2024-10-07,350000
393,234,2024-11-11,2024-11-11,450000
394,236,2024-09-02,2024-09-16,350000
395,236,2024-10-07,,450000
396,236,2024-11-11,2024-11-11,350000
397,237,2024-09-02,2024-09-02,500000
398,237,2024-10-07,2024-10-07,500000
399,237,2024-11-11,2024-11-11,350000
400,238,2024-09-02,2024-09-02,500000
401,238,2024-10-07,2024-10-07,450000
402,238,2024-11-11,2024-11-11,500000
403,242,2024-09-02,2024-09-02,400000
404,242,2024-10-07,2024-10-07,450000
405,242,2024-11-11,2024-11-11,350000
406,243,2024-09-02,2024-09-02,500000
407,243,2024-10-07,2024-10-14,450000
408,243,2024-11-11,2024-11-11,350000
409,244,2024-09-02,2024-09-16,350000
410,244,2024-10-07,2024-10-14,400000
411,244,2024-11-11,2024-11-18,450000
412,245,2024-09-02,2024-09-02,350000
413,245,2024-10-07,,350000
414,245,2024-11-11,2024-11-18,400000
415,246,2024-09-02,2024-09-02,400000
416,246,2024-10-07,2024-10-07,450000
417,246,2024-11-11,2024-11-11,500000
418,247,2024-09-02,2024-09-09,400000
419,247,2024-10-07,2024-10-21,400000
420,247,2024-11-11,2024-11-25,350000
421,248,2024-09-02,,500000
422,248,2024-10-07,2024-10-21,500000
423,248,2024-11-11,2024-11-18,500000
424,249,2024-09-02,2024-09-02,500000
425,249,2024-10-07,2024-10-14,450000
426,249,2024-11-11,2024-11-25,400000
427,252,2024-09-02,2024-09-02,350000
428,252,2024-10-07,2024-10-07,450000
429,252,2024-11-11,2024-11-11,350000
430,253,2024-09-02,2024-09-02,350000
431,253,2024-10-07,2024-10-14,500000
432,253,2024-11-11,2024-11-11,400000
433,254,2024-09-02,2024-09-09,400000
434,254,2024-10-07,2024-10-21,500000
435,254,2024-11-11,2024-11-11,350000
436,258,2024-09-02,2024-09-02,450000
437,258,2024-10-07,2024-10-14,350000
438,258,2024-11-11,2024-11-18,500000
439,261,2024-09-02,2024-09-16,350000
440,261,2024-10-07,2024-10-07,500000
441,261,2024-11-11,2024-11-11,450000
442,266,2024-09-02,2024-09-02,450000
443,266,2024-10-07,2024-10-07,500000
444,266,2024-11-11,2024-11-11,450000
445,268,2024-09-02,2024-09-02,500000
446,268,2024-10-07,2024-10-07,500000
447,268,2024-11-11,2024-11-11,500000
448,269,2024-09-02,2024-09-02,350000
449,269,2024-10-07,2024-10-14,450000
450,269,2024-11-11,2024-11-18,350000
451,271,2024-09-02,2024-09-09,450000
452,271,2024-10-07,2024-10-21,450000
453,271,2024-11-11,2024-11-25,450000
454,272,2024-09-02,2024-09-02,350000
455,272,2024-10-07,2024-10-07,350000
456,272,2024-11-11,2024-11-11,450000
457,274,2024-09-02,2024-09-02,500000
458,274,2024-10-07,2024-10-07,350000
459,274,2024-11-11,2024-11-11,400000
460,277,2024-09-02,2024-09-09,350000
461,277,2024-10-07,2024-10-14,500000
462,277,2024-11-11,2024-11-18,400000
463,278,2024-09-02,2024-09-02,350000
464,278,2024-10-07,2024-10-07,400000
465,278,2024-11-11,2024-11-11,450000
466,281,2024-09-02,2024-09-09,500000
467,281,2024-10-07,2024-10-07,500000
468,281,2024-11-11,2024-11-25,450000
469,282,2024-09-02,2024-09-09,350000
470,282,2024-10-07,2024-10-21,500000
471,282,2024-11-11,2024-11-18,500000
472,283,2024-09-02,2024-09-09,450000
473,283,2024-10-07,2024-10-07,400000
474,283,2024-11-11,,500000
475,286,2024-09-02,2024-09-02,400000
476,286,2024-10-07,2024-10-07,400000
477,286,2024-11-11,2024-11-11,450000
478,289,2024-09-02,2024-09-02,350000
479,289,2024-10-07,2024-10-14,400000
480,289,2024-11-11,2024-11-11,450000
481,291,2024-09-02,2024-09-02,400000
482,291,2024-10-07,2024-10-07,500000
483,291,2024-11-11,2024-11-11,400000
484,293,2024-09-02,2024-09-16,400000
485,293,2024-10-07,2024-10-07,400000
486,293,2024-11-11,2024-11-18,400000
487,295,2024-09-02,2024-09-02,500000
488,295,2024-10-07,2024-10-21,450000
489,295,2024-11-11,2024-11-11,500000
490,299,2024-09-02,2024-09-02,500000
491,299,2024-10-07,2024-10-07,450000
492,299,2024-11-11,2024-11-11,350000
